dataset,question,ground_truth,generated_response,correct,justification
positive,How long does it typically take to import my data from Timely to Vagaro after scheduling an import appointment?,It typically takes one to three business days to import your information from Timely to Vagaro after scheduling your appointment.,It typically takes one to three business days to import your information from Timely to Vagaro after scheduling your import appointment. Source: https://support.vagaro.com/hc/en-us/articles/20389132330523-Import-Your-Business-From-Timely-to-Vagaro,True,The AI's response accurately reflects the time frame for data import as stated in the ground truth.
positive,How can I change the default calendar view that appears when I log in to Vagaro?,"You can change the Default View at Login setting from either your Calendar or your business settings. This determines whether the calendar opens in Day, Week, Month, or Agenda view when you log in.","To change the default calendar view at login, go to Calendar Settings from your Calendar screen or Business Settings. Select the ""Default View at Login"" option and choose your preferred view (Day, Week, Month, or Agenda). This setting applies when you log in. Changes made in the Vagaro Pro app from the Calendar affect only that device. Source: https://support.vagaro.com/hc/en-us/articles/204347700-Set-Calendar-Configuration-Settings",True,The AI's response accurately explains how to change the default calendar view at login and includes relevant details about the settings.
positive,What happens to the employee's name in the customer's appointment notifications when auto-assign is enabled?,"Once an employee is assigned through auto-assign, their name is removed from the customer's booking notifications across all platforms, including push, email, text messages, waitlists, and the Appointment screen.","When auto-assign is enabled, the employee's name is removed from the customer's appointment notifications across all platforms, including push, email, text message, waitlists, and the customer's Appointment screen. Source: https://support.vagaro.com/hc/en-us/articles/15057197724443-Auto-Assign-Employees-for-Online-Bookings",True,"The AI's response accurately conveys that the employee's name is removed from the customer's appointment notifications when auto-assign is enabled, matching the ground truth."
positive,How can I change my legal business name on Vagaro after account creation?,"To change your legal business name on Vagaro, contact support with documentation supporting the change.","To change your legal business name on Vagaro after account creation, you need to contact support with documentation supporting the change. Source: https://support.vagaro.com/hc/en-us/articles/4402559712283-Australia-Activate-Credit-Card-Processing",True,"The AI's response accurately conveys the necessary steps to change the legal business name on Vagaro, aligning with the ground truth."
positive,How do I activate a larger Email Marketing Plan on a computer?,"To activate a larger Email Marketing Plan on a computer, go to Settings → Settings → Email Marketing Plans and select a plan.","To activate a larger Email Marketing Plan on a computer, go to Settings → Settings → Email Marketing Plans, then select the plan you want. Source: https://support.vagaro.com/hc/en-us/articles/115000823427-Activate-an-Email-Marketing-Plan",True,"The AI's response accurately conveys the steps needed to activate a larger Email Marketing Plan, matching the central idea of the ground truth."
positive,How do I set up a separate merchant account for retail sales in Vagaro?,"Go to Credit Card Processing: Phone: Select More → Settings → Credit Card Processing, then on a Computer, Tablet, Pay Desk, or PayPro: Select Settings → Credit Card Processing, turn on Route Item Sales to a Different Merchant Account, select a merchant account for product purchases, and click Save.","To set up a separate merchant account for retail sales in Vagaro, go to Credit Card Processing, then select More → Settings → Credit Card Processing (on phone) or Settings → Credit Card Processing (on computer, tablet, Pay Desk, or PayPro). Turn on ""Route Item Sales to a Different Merchant Account"" and select or create a merchant account for product purchases. Finally, click Save. Source: https://support.vagaro.com/hc/en-us/articles/12373895113243-Merchant-Account-Settings-Allow-Money-Distribution-and-Retail-Merchant-Account",True,"The AI's response accurately covers the steps needed to set up a separate merchant account for retail sales in Vagaro, aligning with the ground truth answer."
positive,How can I test if my Vagaro receipt printer is working correctly after setup?,"To test your printer, go to the Transaction List Report screen, run a report, select a transaction, then select Receipt. In the receipt screen, select the arrow next to Print and choose your printer. If no receipt prints, refer to Troubleshooting Vagaro Receipt Printer.","To test if your Vagaro receipt printer is working correctly after setup, go to the Transaction List Report screen in the Vagaro Pro App or on the Web. Run a report, select any transaction, and then select Receipt. In the receipt screen, select the arrow button next to Print and choose your printer. If no receipt prints, refer to the troubleshooting guide. Source: https://support.vagaro.com/hc/en-us/articles/9036513964443-Setting-Up-Your-Vagaro-Receipt-Printer",True,"The AI's response accurately describes the steps to test the printer and includes a reference to troubleshooting, aligning with the ground truth."
positive,How can I unsubscribe from marketing emails from a specific Vagaro business?,"At the bottom of the business's email, select 'Here' to access your notification settings, then choose to unsubscribe from marketing emails or texts from that business.","To unsubscribe from marketing emails from a specific Vagaro business, select ""Here"" at the bottom of their email. This will display your Notification Settings, where you can choose to unsubscribe from marketing messages by adjusting your preferences. Keep in mind that unsubscribing from marketing emails may prevent you from receiving important messages from the business. Source: https://support.vagaro.com/hc/en-us/articles/115003412914-Unsubscribe-from-Vagaro-or-Business-Communications-for-Customers-of-a-Vagaro-Business",True,The AI's response accurately conveys the process to unsubscribe from marketing emails and includes a helpful reminder about the implications of unsubscribing.
positive,How can I add customer names automatically to the subject line of my email campaign?,"Select Insert Name, then choose First Name or First & Last Name to auto-populate the customer's name in the subject.","You can add customer names automatically to the subject line by selecting the ""Insert Name"" option in the email campaign setup. Then, choose either ""First Name"" or ""First & Last Name"" to auto-populate the customer's name in the subject. Source: https://support.vagaro.com/hc/en-us/articles/26573136977051-Set-Up-Before-Visit-Email-Notifications-Reminders",True,"The AI's response accurately explains how to add customer names to the subject line, matching the central idea of the ground truth answer."
positive,What is the main difference between an Email Blast campaign and automatic campaigns in Vagaro?,"An Email Blast campaign is a one-time message sent to a specific or filtered group of customers, while automatic campaigns, such as Birthday or Lost Customer campaigns, continuously send emails based on set criteria until deactivated.","The main difference is that an Email Blast campaign is a one-time message sent to a specific group of customers, while automatic campaigns (such as Birthday, Lost Customer, Before-Visit, and After-Visit campaigns) continuously send emails based on customer criteria until they are deactivated. Source: https://support.vagaro.com/hc/en-us/articles/4412652458779-Email-Campaign-Types",True,"The AI's response accurately describes the difference between Email Blast campaigns and automatic campaigns, including relevant examples."
positive,How can I restore customer profiles deleted on or after a specific date using Vagaro?,"To restore customer profiles, select the date from which you want to restore customers and confirm the action. On a phone, go to More → Reports → Customers, then choose Action → Undo Delete, select the date, and proceed. On a computer or tablet, go to Reports → Customers, select Undo Delete, choose the date, and click Proceed, then confirm with OK.","To restore customer profiles deleted on or after a specific date, go to Reports → Customers, then select Undo Delete. Choose the date from which you want to restore customers and click Proceed. Confirm the number of profiles to restore by selecting OK. Source: https://support.vagaro.com/hc/en-us/articles/115000296213-Restore-a-Deleted-Customer",True,The AI's response accurately describes the steps to restore customer profiles and aligns with the ground truth answer.
positive,How can I add color options as variants to a product on Vagaro?,"To add color options as variants, select 'Color Swatch' as the display option, then choose a color for each variant by selecting Plus + or Pencil, depending on the device you're using.","To add color options as variants to a product on Vagaro, select ""Color Swatch"" as the display option when editing your product. Then, choose a color for each variant by selecting Plus (+) or Pencil. This will display the color options as selectable colors on your listing page. Source: https://support.vagaro.com/hc/en-us/articles/29333769252379-Add-Variants-to-Products",True,The AI's response accurately covers the main steps to add color options as variants and provides additional context about how the colors will be displayed.
positive,How can I require a credit card for customers to book a service online on Vagaro?,"Go to Online Shopping Cart → Settings → Online Shopping Cart, then scroll down to 'Require Deposit or Capture Credit Card at the time of Booking Services' and select 'Capture Credit Card.' Provide the minimum service price, cancellation/no-show fee, cutoff time, and select customer types that need to provide a credit card, then click Save.","To require a credit card for customers to book a service online on Vagaro, go to Online Shopping Cart settings, then select ""Capture Credit Card"" under ""Require Deposit or Capture Credit Card at the time of Booking Services."" Enter the minimum service price, cancellation/no-show fee, and cutoff time, then choose the customer types that need to provide a credit card. Finally, click Save. Source: https://support.vagaro.com/hc/en-us/articles/17733255316763-Require-a-Credit-Card-on-File-to-Book",True,"The AI's response accurately covers the steps needed to require a credit card for booking services online on Vagaro, aligning closely with the ground truth answer."
positive,How can I view or reprint a customer's receipt from the Transaction List Report?,"Select the transaction ID in the Checkout Date/Checkout By/Transaction ID column or scroll to the far right of the report and select Receipt to view, reprint, or send the receipt to the customer via email.","You can view or reprint a customer's receipt from the Transaction List Report by selecting the transaction ID in the Checkout Date/Checkout By/Transaction ID column. Alternatively, scroll to the far right of the report and select ""Receipt."" From there, you can reprint or send the receipt via email. Source: https://support.vagaro.com/hc/en-us/articles/204347940-Transaction-List-Report",True,"The AI's response accurately conveys the steps to view or reprint a customer's receipt, aligning with the ground truth answer."
positive,How can I confirm a customer's attendance for an upcoming class session using the Vagaro Pro App?,"To confirm a customer's attendance using the Vagaro Pro App, select the class session on the calendar, tap the session name in the menu, select the attendee, and then choose 'Confirm' to verify that the customer will attend the session.","To confirm a customer's attendance using the Vagaro Pro App, select the class session on the calendar, open its details, then select the session name in the menu. Find the attendee and choose ""Confirm"" to verify their attendance. The customer can also confirm themselves through automatic notifications sent to their phone or email. Source: https://support.vagaro.com/hc/en-us/articles/29078318111387-Register-and-Manage-Class-Attendees",True,The AI's response accurately describes the steps to confirm a customer's attendance and adds helpful information about automatic notifications.
positive,How can an administrator sign an employee's pending form using the Unsigned Forms report?,"An administrator can open the form from the Unsigned Forms report, which shows the employees authorized to sign. If the administrator has permission, they can log in, sign the form, and then select Save.","To sign an employee's pending form as an administrator, open the form from the Unsigned Forms report. The system will show which employees can sign and prompt you to log in. You can then enter your credentials on the device to provide the signature securely. Source: https://support.vagaro.com/hc/en-us/articles/40257469908891-Sign-Forms-From-the-Unsigned-Forms-Report",True,The AI's response accurately describes the process for signing an employee's pending form and includes relevant details about logging in and the system's functionality.
positive,What permissions does an employee need to view and edit their own time card entries?,"Employees can view their own time card entries without additional permissions, but to edit or delete their own entries, they need Modify access in Reports → Employees → Time Card.","An employee needs the ""Modify"" permission for their own time card entries, which allows them to edit or delete their own entries in the Reports → Employees → Time Card screen. Viewing their own time card entries is available without additional permissions. Source: https://support.vagaro.com/hc/en-us/articles/18977275541531-Configure-Access-Levels-and-Employee-Permissions",True,The AI's response accurately conveys the necessary permissions for editing and deleting time card entries while correctly stating that viewing them does not require additional permissions.
positive,How does adding emojis or non-Latin characters affect the character limit per message segment?,"Adding emojis or non-Latin characters reduces the number of characters allowed per segment, with standard messages allowing 160 characters per segment and messages with emojis or unsupported languages allowing 70 characters per segment.","Adding emojis or non-Latin characters, such as Chinese or Japanese, reduces the number of characters allowed per message segment. Standard messages have a limit of 160 characters per segment, but with emojis or unsupported languages, this decreases to 70 characters per segment. This means longer messages may be split into more segments, increasing credit usage. Source: https://support.vagaro.com/hc/en-us/articles/27469123270555-How-Vagaro-Calculates-Credit-Usage-for-Text-Messages",True,"The AI's response accurately explains how emojis and non-Latin characters affect the character limit per message segment, aligning with the ground truth."
positive,How long does it take to receive my cash advance after approval from Vagaro Capital?,It takes two business days to complete the review process and receive your cash advance after approval.,It will take two business days to complete the review process and receive your cash advance after approval. You will be notified when the funds are deposited into your bank account. Source: https://support.vagaro.com/hc/en-us/articles/21897083104539-Apply-for-Vagaro-Capital-in-Canada,True,The AI's response accurately conveys the time frame for receiving the cash advance and adds helpful information about notification of fund deposits.
positive,What is the typical timeframe for a business to dispute a chargeback after being notified in Vagaro?,"Once notified in Vagaro, you have around eight days to dispute the chargeback.","The typical timeframe for a business to dispute a chargeback after being notified in Vagaro is around eight days. If not disputed within this period, a dispute will be automatically submitted. Source: https://support.vagaro.com/hc/en-us/articles/360016551733-What-are-Chargebacks-and-How-Do-I-Prevent-Them",True,The AI's response accurately conveys the timeframe for disputing a chargeback and includes additional helpful information about the automatic submission of a dispute.
positive,How do I add an employee profile on my phone using Vagaro?,"To add an employee profile on your phone, select More → Settings → Employee Profiles, then tap Employees to view all profiles, and choose Add Employee. Enter the employee's First Name, Last Name, Email, and Confirm Email, along with any optional information needed.","To add an employee profile on your phone using Vagaro, select More → Settings → Employee Profiles. Then, tap Employees to view all profiles and select Add Employee. Enter the required information such as First Name, Last Name, Email, and Confirm Email. Fill out any optional details as needed, then proceed with the remaining steps to complete the profile. Source: https://support.vagaro.com/hc/en-us/articles/18977275440795-Add-an-Employee-Profile",True,"The AI's response accurately covers the steps to add an employee profile and includes all necessary details, aligning with the ground truth."
positive,How do I add pages to a folder in my MySite drop-down menu?,"Hover over a page, select the Move button, and then drag that page under the folder in the Pages tab.","To add pages to a folder in your MySite drop-down menu, hover over a page, select the Move button, and then drag that page under the folder. You can also add a new page under the folder by selecting Add Page. Source: https://support.vagaro.com/hc/en-us/articles/26945941352987-MySite-Create-a-Drop-Down-Menu-in-Your-Navigation-Bar",True,The AI's response accurately describes the process of adding pages to a folder and includes additional helpful information about adding a new page.
positive,How can I copy a direct link to book a specific service or class on Vagaro using a mobile device?,"On a phone, go to More → Settings → Service/Class Menu, select Services or Classes, choose the service or class, then select Share Link. In the Create Link screen, tap Share Link to copy the link or send it directly.","To copy a direct link to book a specific service or class on Vagaro using a mobile device, follow these steps:

1. On your mobile device, open the Vagaro Pro App.
2. Navigate to More → Settings → Service/Class Menu.
3. Select Services or Classes.
4. Choose the specific service or class.
5. Tap Share Link.
6. Optionally, select Test Link to verify.
7. Tap Share Link again, then copy the link or send it directly.

Source: https://support.vagaro.com/hc/en-us/articles/4565143139739-Create-Links-to-Things-You-Sell",True,"The AI's response accurately outlines the steps to copy a direct link to book a service or class on Vagaro, aligning with the ground truth answer."
positive,How can a business add or update an appointment note for an existing appointment in Vagaro?,"To add or update an appointment note for an existing appointment, go to the Calendar, select the appointment, then choose Edit (on the app) or Note (on a computer), enter or update the note under Appointment Notes, and then save.","To add or update an appointment note for an existing appointment in Vagaro, go to the Calendar, find the appointment, select it to open its details, then choose ""Edit"" (on the app) or ""Note"" (on the computer). Enter or update the note and save your changes. Source: https://support.vagaro.com/hc/en-us/articles/360010452434-Manage-Appointment-Notes",True,"The AI's response accurately covers the steps to add or update an appointment note, aligning with the ground truth answer."
positive,How can I manually set my business hours on Vagaro if I am not using employee working hours?,"To manually set your business hours, go to your Business Profile settings, scroll down to Business Hours, select the days your business is open, and specify the opening and closing times for each day, then click Save.","To manually set your business hours on Vagaro, go to your Business Profile settings, then scroll down to the Business Hours section. Choose the days your business is open, and set the opening and closing times for each day. Make sure the ""Use Employee Working Hours"" toggle is off. Finally, select Save. Source: https://support.vagaro.com/hc/en-us/articles/34418132184091-Set-Your-Business-Hours",True,The AI's response accurately describes the steps to manually set business hours on Vagaro and includes the important detail about the 'Use Employee Working Hours' toggle.
positive,How do I remove an attendee from a class session using the Vagaro Pro App?,"To remove an attendee using the Vagaro Pro App, select the class session on the calendar, open its details, select the session name, then choose the attendee to remove and tap Cancel. Complete any optional steps, then mark the attendee as cancelled and save.","To remove an attendee from a class session using the Vagaro Pro App, select the class session on the calendar to open its details, then select the session name in the menu. From the list of attendees, select the attendee to remove, then select Cancel. Complete any optional steps, and then save. Source: https://support.vagaro.com/hc/en-us/articles/29078318111387-Register-and-Manage-Class-Attendees",True,"The AI's response accurately describes the steps to remove an attendee from a class session using the Vagaro Pro App, aligning closely with the ground truth."
positive,"How can I add a new item to my store's list if I only want to keep track of its label and price, without selling it online?","You only need to input the product's barcode, name, brand, and price if you're creating it for in-house purposes without online sales or quantity tracking.","You can add a product by entering only the barcode, name, brand, and price if you don’t plan to sell it online or track its quantity. Follow the steps for your device, scan or manually enter the barcode, then input the product name, brand, category, vendor, and pricing details. You don’t need to set up online selling options. Source: https://support.vagaro.com/hc/en-us/articles/16713434779291-Add-a-Product-to-Sell-In-House",True,"The AI's response accurately conveys the necessary information about adding a product for in-house purposes without online sales, aligning with the ground truth."
positive,What is the fee to restore my files after deactivating Vagaro Drive?,The fee to restore your files is a one-time $50 charge.,The fee to restore your files after deactivating Vagaro Drive is $50. Source: https://support.vagaro.com/hc/en-us/articles/35864572615451-Restore-Deleted-Drive-Files,True,"The AI's response accurately states the fee to restore files as $50, which aligns with the ground truth answer."
positive,How can I add a Vagaro Class to my class menu on a mobile device?,"To add a Vagaro Class on a mobile device, select More → Settings → Service/Class Menu, then tap Classes to view your menu. At the top, verify the correct employee, use Filters to select another if needed, then tap Add and choose Class. Select Vagaro Class or Custom Class, pick the classes to add, and tap Save.","To add a Vagaro Class to your class menu on a mobile device, select More → Settings → Service/Class Menu. Tap Classes to view your menu, verify the correct employee, then tap Add and select Class. Choose Vagaro Class or Custom Class, select the classes to add, and tap Save. You can then edit class details as needed. Source: https://support.vagaro.com/hc/en-us/articles/18977244070811-Add-a-Vagaro-Class-or-Workshop",True,The AI's response accurately covers the steps to add a Vagaro Class and includes additional helpful detail about editing class details.
positive,How can I edit a recurring class session on the Vagaro Pro App and what happens if I choose to edit only this occurrence?,"To edit a recurring class session on the Vagaro Pro App, select the class on the calendar, then choose 'Edit' and select 'Edit This Occurrence' to modify only that specific session. If you choose to edit only this occurrence, it will unlink from the series, and future changes to the series will not affect this session.","To edit a recurring class session on the Vagaro Pro App, select the class on the Calendar, then choose ""Edit."" When prompted, select ""Edit This Occurrence"" to modify only that specific session. If you choose ""Edit This Occurrence,"" it will unlink that session from the series, and future changes to the series will not affect it. Source: https://support.vagaro.com/hc/en-us/articles/360023385054-Edit-Class-Sessions-and-Workshops-From-the-Calendar",True,The AI's response accurately explains how to edit a recurring class session and correctly describes the consequence of editing only that occurrence.
positive,How do I create a time off request on the Vagaro calendar?,"To create a time off request, go to the Calendar screen, select the desired calendar, choose the day and timeslot, select Personal Task, then Event Type: Request Time Off, specify the time off type, start and end dates and times, add comments if needed, and finally select Request.","To create a time off request on the Vagaro calendar, go to the Calendar screen and select the desired calendar. Choose the day you want to add the request, select any timeslot to open the menu, and then select Personal Task. In the popup, select Event Type as Request Time Off, choose the Time Off type, set the start and end dates and times, add any comments if needed, and then click Request. You will see a confirmation message once submitted. Source: https://support.vagaro.com/hc/en-us/articles/21475806122267-Request-Time-Off-From-Your-Calendar",True,The AI's response accurately covers the steps to create a time off request on the Vagaro calendar and includes additional detail about seeing a confirmation message.
positive,How can I prevent customers from booking appointments for family members or friends on my Vagaro listing?,"Go to Online Appointment Rules in your settings and turn off 'Allow Family and Friends Booking,' then save the changes.","To prevent customers from booking appointments for family members or friends, go to your Online Appointment Rules in Settings and turn off ""Allow Family and Friends Booking."" Then, select Save. Source: https://support.vagaro.com/hc/en-us/articles/31455291960987-Block-Family-Friend-Bookings",True,"The AI's response accurately conveys the necessary steps to prevent family and friends booking, matching the ground truth."
positive,How can I reward my clients for sharing their opinions about my business online?,"You can give customers points for leaving a review on your Vagaro Listing Page, which they can later use to purchase services, classes, or products.","You can reward your clients for sharing their opinions by giving them points for leaving a review on your Vagaro Listing Page. To set this up, go to Settings → Taxes & Checkout (Web) or More → Settings → Things We Sell → Taxes & Checkout (Vagaro Pro App), then scroll to the Other Payment Methods section. Enter the points amount you want to award for reviews and save. Note: Customers can redeem points for services, classes, and products, but not for memberships, packages, or Daily Deals. Source: https://support.vagaro.com/hc/en-us/articles/360000922014-Give-Customers-Points-for-Reviews",True,"The AI's response accurately explains how to reward clients for reviews and provides detailed instructions, aligning with the central idea of the ground truth."
positive,What should I do if a customer doesn't arrive for their appointment and I want to make sure they are billed for missing it?,"You can mark the attendee as a no-show and enter a fee to charge their credit card, either individually or for multiple attendees, to discourage future absences.","You should individually mark the customer as a no-show and charge a no-show fee to their credit card. On a computer or tablet, go to the Calendar, select the class session, click Edit, find the attendee, select No-Show, and then choose Charge No-Show Fee. On a phone, select the session, choose No-Show for the attendee, enter the fee, and select the payment method to charge the fee. Source: https://support.vagaro.com/hc/en-us/articles/360022751974-Check-In-Check-Out-or-No-Show-Class-Attendees",True,"The AI's response accurately describes the process of marking a customer as a no-show and charging a fee, aligning with the ground truth."
positive,How can I sell a digital gift card with an auto-generated number using Vagaro on a computer?,"To sell a digital gift card with an auto-generated number on a computer, go to the Checkout screen, select a customer, click 'Gift Card,' then choose 'Auto Generate' for the Gift Card Number, enter the amount, select a template type, and proceed with the sale.","To sell a digital gift card with an auto-generated number on a computer using Vagaro, go to the Checkout screen, select a customer, then click on ""Gift Card."" Choose ""Auto Generate"" for the Gift Card Number, enter the gift card's amount, select a template type, and fill in other optional fields. Then, proceed to payment. Source: https://support.vagaro.com/hc/en-us/articles/18627015674011-Sell-Gift-Cards",True,"The AI's response accurately covers the steps needed to sell a digital gift card with an auto-generated number using Vagaro, aligning closely with the ground truth."
positive,How can I ensure cookies are enabled on my iPhone Safari browser?,"Go to your phone Settings, select Safari from the left side menu, then scroll down to Privacy & Security and make sure Block all Cookies is turned off.","To ensure cookies are enabled on your iPhone Safari browser, go to your phone Settings, select Safari, then scroll down to Privacy & Security and make sure ""Block all Cookies"" is turned off. Source: https://support.vagaro.com/hc/en-us/articles/204346900-Enabling-Cookies",True,"The AI's response accurately conveys the steps needed to enable cookies on an iPhone Safari browser, matching the central idea of the ground truth answer."
positive,"If I want to keep in touch with my clients even when they're not logged into Vagaro, what should I consider?","You should consider purchasing a text messaging plan, as it allows you to send direct SMS messages to your customers regardless of their activity on Vagaro.",You should consider purchasing at least the small text plan to send direct SMS messages to your clients without relying on their activity on Vagaro.com or the app. This allows you to keep in touch with clients at all times. Source: https://support.vagaro.com/hc/en-us/articles/26168595985179-Is-Connect-by-Vagaro-Free,True,"The AI's response accurately conveys the need to purchase a text messaging plan to communicate with clients outside of Vagaro, aligning with the central idea of the ground truth."
positive,"If I stop using my calendar app with Vagaro, will my upcoming appointments still show up?","No, if you disconnect your calendar, all Google events will be removed from your calendar unless they were converted to a service or class.","If you disconnect your calendar from Vagaro, all Google events will be removed from your calendar unless they were converted to a service or class. Your upcoming appointments will no longer show up in your calendar after disconnection. Source: https://support.vagaro.com/hc/en-us/articles/31275501148699-Sync-Vagaro-with-Google-Calendar",True,"The AI's response accurately conveys that disconnecting the calendar will remove Google events, aligning with the ground truth."
positive,How can I check in a customer using the Check-in app without a membership card or QR code?,"Select Check in, enter the customer's name, select them, have them enter their password, and then select Check In.","To check in a customer without a membership card or QR code, select ""Check in"" from the Check-in app, enter the customer's name, select their profile, have them enter their password if prompted, and then select ""Check In."" Source: https://support.vagaro.com/hc/en-us/articles/41484332880795-Check-In-Customers-From-the-Check-in-App",True,"The AI's response accurately covers the steps needed to check in a customer without a membership card or QR code, aligning with the ground truth."
positive,How can I make it easier for clients to see what my place looks like and get a sense of atmosphere?,"You can add a venue gallery with up to 100 photos, including images of your interior, exterior, and logo, which will be displayed on your listing and receipts.","You can add a Venue Gallery to showcase up to 100 photos of your business's interior and exterior, giving clients a visual sense of your atmosphere. This gallery can be displayed on your Vagaro Listing Page. 

Source: https://support.vagaro.com/hc/en-us/articles/18977274427803-Vagaro-Features-Included-in-Your-Base-Subscription",True,"The AI's response accurately conveys the main idea of adding a venue gallery with photos to help clients visualize the atmosphere, aligning well with the ground truth."
positive,How do I set the TSP 100 Printer as the default printer in Windows after installation?,"Open Control Panel, select View devices and printers, right-click the TSP 100 Printer icon, and choose Set as Default Printer.","To set the TSP 100 Printer as the default printer in Windows, go to Control Panel, select ""View devices and printers,"" right-click the TSP 100 Printer icon, and choose ""Set as Default Printer."" Source: https://support.vagaro.com/hc/en-us/articles/204347360-Star-ETHERNET-Printer-Setup-Windows-Computers",True,"The AI's response accurately covers the steps needed to set the TSP 100 Printer as the default printer in Windows, matching the ground truth."
positive,Where can I change the employee booking order that appears on my Vagaro Listing Page?,"You can change the employee booking order by going to Settings → Online Appointment Rules, scrolling down to the Booking section, selecting your preferred Online Employee Booking Order, and then clicking Save.","You can change the employee booking order on your Vagaro Listing Page by going to Settings → Online Appointment Rules, then scrolling down to the Booking section. Select your preferred Online Employee Booking Order and click Save. This change will be reflected on your Vagaro Listing Page. Source: https://support.vagaro.com/hc/en-us/articles/204736614-Change-Employee-Booking-Order",True,The AI's response accurately covers the steps to change the employee booking order and includes the necessary details to help the customer.
positive,How can I set up a repeat session or service with my favorite provider without creating a new appointment each time?,You can rebook a service or class directly from your profile if you enjoyed the previous experience with the same provider.,"I don't have enough information to answer that confidently. The provided article explains how to rebook a service or class for a future date, but it does not specify how to set up recurring or repeat sessions automatically. You may want to contact the business directly to inquire if they offer recurring appointments or check if the booking system has a repeat scheduling feature. Source: https://support.vagaro.com/hc/en-us/articles/360008506194-Rebook-a-Service-or-Class-for-Customers-of-A-Vagaro-Business",False,"The AI's response fails to address the customer's question about setting up repeat sessions and suggests contacting the business instead, which does not provide a helpful solution."
positive,"If I want to reward my team based on how much they sell, but only after a certain sales amount, what should I do?","You can set up tiered commissions that apply different percentage rates or fixed amounts depending on sales ranges, so employees earn more as they reach higher sales tiers.","You should set up tiered commissions based on revenue. This allows you to define different commission percentages or amounts for sales within specific ranges. For example, you can create tiers where commissions only apply after a certain sales amount is reached. Select Reports → Payroll Configuration, go to the Products tab, and add tiers with top ranges and commission rates accordingly. Source: https://support.vagaro.com/hc/en-us/articles/21476003547419-Set-Up-Commissions-for-Products",True,"The AI's response accurately describes the concept of tiered commissions and provides additional details on how to implement it, aligning well with the customer's question."
positive,How can I filter my email campaign list to only include customers within a specific age range?,Use the 'Age Between' slider to select an age range (from 0 to 110) for customers to receive the campaign.,"You can filter your email campaign list to only include customers within a specific age range by adjusting the ""Age Between"" slider in the filter options. Move the slider to set your desired age range from 0 to 110. Source: https://support.vagaro.com/hc/en-us/articles/4412639225883-Filter-Audience-for-Email-Campaigns",True,"The AI's response accurately explains how to filter the email campaign list using the 'Age Between' slider, aligning with the ground truth."
positive,What steps do I need to take before deleting my Vagaro customer account?,"Before deleting your Vagaro account, you must cancel all future appointments or classes, cancel any recurring memberships or packages, and settle all outstanding invoices and IOUs.","Before deleting your Vagaro customer account, you need to cancel all future appointments or classes, cancel any recurring memberships or packages, and settle any outstanding invoices and IOUs. You may also need to contact the business directly to fully cancel certain packages or memberships. Source: https://support.vagaro.com/hc/en-us/articles/1260806204150-Close-Your-Vagaro-Account-for-Customers-of-a-Vagaro-Business",True,The AI's response accurately covers the necessary steps to take before deleting a Vagaro account and adds helpful information about potentially needing to contact the business directly.
positive,"If I decide I don't want an upcoming message to go out anymore, how can I stop it from being sent?","You can cancel the scheduled campaign through your device by accessing the marketing options, finding the campaign in the queue, and confirming the cancellation.","To stop an upcoming message from being sent, cancel the scheduled campaign. On a phone, go to More → Email & Text Marketing → Campaigns, select Queue, swipe left on the campaign, and choose Cancel. On a computer or tablet, go to Marketing, filter by Sending Queue, find the campaign, select Action → Cancel. Source: https://support.vagaro.com/hc/en-us/articles/26168603160091-Edit-Email-and-Text-Campaigns",True,"The AI's response accurately explains how to cancel a scheduled campaign and provides detailed steps for both mobile and desktop, aligning with the central idea of the ground truth."
positive,How can I register an attendee for multiple class sessions at once using the Vagaro Pro App?,"To register an attendee for multiple sessions, select the class, choose Add Attendees, enter the number of sessions and start date, set the frequency (weekly or monthly), and then add the attendee. You can also add add-ons and payment info before completing registration.","To register an attendee for multiple class sessions using the Vagaro Pro App, go to the Calendar screen, select the class, then tap Add Attendees. Enter the number of sessions and set the start date. Choose a frequency (weekly or monthly) for the sessions, then add the attendees and any add-ons. You can also prepay or check out later. Source: https://support.vagaro.com/hc/en-us/articles/29078318111387-Register-and-Manage-Class-Attendees",True,The AI's response accurately covers the steps to register an attendee for multiple class sessions and includes relevant details about adding attendees and payment options.
positive,How can I keep track of any special requests or important details for my upcoming visit?,"You can add Appointment Notes to record any special requirements, reminders, requests, or comments related to the appointment.","You can add Appointment Notes to keep track of any special requirements, reminders, requests, or comments for your upcoming appointment. These notes help ensure the provider is aware of important details. Source: https://support.vagaro.com/hc/en-us/articles/221194188-Rebook-an-Appointment",True,"The AI's response accurately conveys the method for keeping track of special requests and important details, aligning with the ground truth."
positive,"If I need to change the device that handles my card payments, how do I disconnect the current one from my system?","Open the Vagaro Pro app, go to More → Connected Devices, then select Unassign Reader and confirm to disconnect the device.","To unassign a reader, open the Vagaro Pro app, go to More → Connected Devices, then select Unassign Reader and confirm by selecting Unassign. This will disconnect the current device from your system. Source: https://support.vagaro.com/hc/en-us/articles/4402883300891-Using-the-WisePad-3-Mobile-with-Vagaro-Pro",True,The AI's response accurately describes the steps to disconnect the device and aligns with the ground truth answer.
